Level code,Preferred Label,ATC LEVEL
A,ALIMENTARY TRACT AND METABOLISM DRUGS,1
A01,STOMATOLOGICAL PREPARATIONS,2
A01A,STOMATOLOGICAL PREPARATIONS,3
A01AA,Caries prophylactic agents,4
A01AA01,sodium fluoride,5
A01AA02,sodium monofluorophosphate,5
A01AA03,olaflur,5
A01AA04,stannous fluoride,5
A01AA30,Caries prophylactic agent combinations,5
A01AA51,"sodium fluoride, combinations",5
A01AB,Antiinfectives and antiseptics for local oral treatment,4
A01AB02,hydrogen peroxide,5
A01AB03,chlorhexidine,5
A01AB04,amphotericin B,5
A01AB05,polynoxylin,5
A01AB06,domiphen,5
A01AB07,oxyquinoline,5
A01AB08,neomycin,5
A01AB09,miconazole,5
A01AB10,natamycin,5
A01AB11,various antiinfectives and antiseptics for local oral treatment,5
A01AB12,hexetidine,5
A01AB13,tetracycline,5
A01AB14,benzoxonium chloride,5
A01AB15,tibezonium iodide,5
A01AB16,mepartricin,5
A01AB17,metronidazole,5
A01AB18,clotrimazole,5
A01AB19,sodium perborate,5
A01AB21,chlortetracycline,5
A01AB22,doxycycline,5
A01AB23,minocycline,5
A01AB24,octenidine,5
A01AB25,oxytetracycline,5
A01AB53,chlorhexidine and cetylpyridinium,5
A01AC,Corticosteroids for local oral treatment,4
A01AC01,triamcinolone,5
A01AC02,dexamethasone,5
A01AC03,hydrocortisone,5
A01AC04,prednisolone,5
A01AC54,"prednisolone, combinations",5
A01AD,Other agents for local oral treatment in ATC,4
A01AD01,epinephrine,5
A01AD02,benzydamine,5
A01AD05,acetylsalicylic acid,5
A01AD06,adrenalone,5
A01AD07,amlexanox,5
A01AD08,becaplermin,5
A01AD11,various other agents for local oral treatment in ATC,5
A02,DRUGS FOR ACID RELATED DISORDERS,2
A02A,ANTACIDS,3
A02AA,antacids containing magnesium compounds,4
A02AA01,magnesium carbonate,5
A02AA02,magnesium oxide,5
A02AA03,magnesium peroxide,5
A02AA04,magnesium hydroxide,5
A02AA05,magnesium silicate,5
A02AA10,Magnesium antacid compound combinations,5
A02AB,antacids containing aluminium compounds,4
A02AB01,aluminium hydroxide,5
A02AB02,algeldrate,5
A02AB03,aluminium phosphate,5
A02AB04,dihydroxialumini sodium carbonate,5
A02AB05,aluminium acetoacetate,5
A02AB06,aloglutamol,5
A02AB07,aluminium glycinate,5
A02AB10,Aluminium antacid compound combinations,5
A02AC,antacids containing calcium compounds,4
A02AC01,calcium carbonate,5
A02AC02,calcium silicate,5
A02AC10,Calcium antacid compound combinations,5
A02AD,"antacids containing combinations and complexes of aluminium, calcium and magnesium compounds",4
A02AD01,ordinary salt combinations,5
A02AD02,magaldrate,5
A02AD03,almagate,5
A02AD04,hydrotalcite,5
A02AD05,almasilate,5
A02AF,Antacids with antiflatulents,4
A02AF01,magaldrate and antiflatulents,5
A02AF02,ordinary salt combinations and antiflatulents,5
A02AG,Antacids with antispasmodics,4
A02AH,Antacids with sodium bicarbonate,4
A02AX,"Antacids, other combinations in ATC",4
A02B,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),3
A02BA,H2-receptor antagonists,4
A02BA01,cimetidine,5
A02BA02,ranitidine,5
A02BA03,famotidine,5
A02BA04,nizatidine,5
A02BA05,niperotidine,5
A02BA06,roxatidine,5
A02BA07,ranitidine bismuth citrate,5
A02BA08,lafutidine,5
A02BA51,"cimetidine, combinations",5
A02BA53,"famotidine, combinations",5
A02BB,Prostaglandin drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD),4
A02BB01,misoprostol,5
A02BB02,enprostil,5
A02BC,Proton pump inhibitors for peptic ulcer and GORD,4
A02BC01,omeprazole,5
A02BC02,pantoprazole,5
A02BC03,lansoprazole,5
A02BC04,rabeprazole,5
A02BC05,esomeprazole,5
A02BC06,dexlansoprazole,5
A02BC07,dexrabeprazole,5
A02BC08,vonoprazan,5
A02BC09,tegoprazan,5
A02BC51,"omeprazole, combinations",5
A02BC53,"lansoprazole, combinations",5
A02BC54,"rabeprazole, combinations",5
A02BD,Combinations for eradication of Helicobacter pylori,4
A02BD01,"omeprazole, amoxicillin and metronidazole",5
A02BD02,"lansoprazole, tetracycline and metronidazole",5
A02BD03,"lansoprazole, amoxicillin and metronidazole",5
A02BD04,"pantoprazole, amoxicillin and clarithromycin",5
A02BD05,"omeprazole, amoxicillin and clarithromycin",5
A02BD06,"esomeprazole, amoxicillin and clarithromycin",5
A02BD07,"lansoprazole, amoxicillin and clarithromycin",5
A02BD08,"bismuth subcitrate, tetracycline and metronidazole",5
A02BD09,"lansoprazole, clarithromycin and tinidazole",5
A02BD10,"lansoprazole, amoxicillin and levofloxacin",5
A02BD11,"pantoprazole, amoxicillin, clarithromycin and metronidazole",5
A02BD12,"rabeprazole, amoxicillin and clarithromycin",5
A02BD13,"rabeprazole, amoxicillin and metronidazole",5
A02BD14,"vonoprazan, amoxicillin and clarithromycin",5
A02BD15,"vonoprazan, amoxicillin and metronidazole",5
A02BD16,"omeprazole, amoxicillin and rifabutin",5
A02BD17,vonoprazan and amoxicillin,5
A02BX,Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD) in ATC,4
A02BX01,carbenoxolone,5
A02BX02,sucralfate,5
A02BX03,pirenzepine,5
A02BX04,methiosulfonium chloride,5
